row_id,timestamp,source,external_id,title,severity,service,resource,environment,state,message
R001,2026-09-02T02:40:12+07:00,grafana,GRF-39880,HighAPILatency p95 above 800ms (payment-api),warning,payment-api,api-prod-01,production,alerting,p95=1240ms over 5m
R002,2026-09-02T02:46:33+07:00,grafana,GRF-39884,[RESOLVED] HighAPILatency p95 above 800ms (payment-api),warning,payment-api,api-prod-01,production,ok,p95=310ms over 5m
R003,2026-09-02T03:15:02+07:00,email,EM-88213,ALERT: Nightly backup FAILED on db-prod-01,CRITICAL,backup,db-prod-01,production,FAILED,job nightly-full exited 1 after 00:42:11
R004,2026-09-02T03:15:02+07:00,email,EM-88213,ALERT: Nightly backup FAILED on db-prod-01,CRITICAL,backup,db-prod-01,production,FAILED,job nightly-full exited 1 after 00:42:11
R005,2026-09-02T03:15:02+07:00,email,EM-88213,ALERT: Nightly backup FAILED on db-prod-01,CRITICAL,backup,db-prod-01,production,FAILED,job nightly-full exited 1 after 00:42:11
R006,2026-09-02T04:15:41+07:00,azure_monitor,AZ-77200,Memory percentage greater than 88 (web-prod-01),Sev2,web-frontend,web-prod-01,production,Fired,memory 89.4 percent
R007,2026-09-02T04:22:08+07:00,azure_monitor,AZ-77206,Memory percentage greater than 88 (web-prod-01),Sev2,web-frontend,web-prod-01,production,Resolved,memory 61.2 percent
R008,2026-09-02T05:30:19+07:00,uptime_kuma,UK-8950,[vpn-gw] [Up] Service restored,,vpn,vpn-gw-01,production,Up,200 OK in 61ms
R009,2026-09-02T06:20:10+07:00,uptime_kuma,UK-8990,[mail-relay] [Down] Connection timeout,,mail-relay,mail-relay-01,production,Down,smtp connect timed out
R010,2026-09-02T06:20:55+07:00,uptime_kuma,UK-8991,[mail-relay] [Up] Service restored,,mail-relay,mail-relay-01,production,Up,smtp banner in 240ms
R011,2026-09-02T07:05:27+07:00,grafana,GRF-40002,HighAPILatency p95 above 800ms (payment-api),warning,payment-api,api-prod-01,production,alerting,p95=1105ms over 5m
R012,2026-09-02T07:07:44+07:00,grafana,GRF-40004,HighAPILatency p95 above 800ms (payment-api),warning,payment-api,api-prod-01,production,alerting,p95=1180ms over 5m
R013,2026-09-02T07:12:03+07:00,grafana,GRF-40009,[RESOLVED] HighAPILatency p95 above 800ms (payment-api),warning,payment-api,api-prod-01,production,ok,p95=288ms over 5m
R014,2026-09-02T08:02:00+07:00,grafana,GRF-39990,Deployment completed: payment-api v2.14.3,info,payment-api,api-prod-01,production,,rollout finished in 94s
R015,2026-09-02T08:30:00+07:00,email,EM-88240,Daily infrastructure digest - 2026-09-02,INFO,platform,mail-relay-01,production,,"42 monitors, 3 advisories"
R016,2026-09-02T09:12:04+07:00,grafana,GRF-40118,[FIRING:1] PaymentAPIHealthCheck (payment-api api-prod-01),critical,payment-api,api-prod-01,production,alerting,health check returned 503 for 3 consecutive probes
R017,2026-09-02T09:12:26+07:00,uptime_kuma,UK-9042,[payment-api] [Down] Connection refused,,payment-api,api-prod-01,production,Down,connection refused on https://payments.internal/healthz
R018,2026-09-02T09:13:11+07:00,azure_monitor,AZ-77301,CPU percentage greater than 90 (api-prod-01),Sev1,payment-api,api-prod-01,production,Fired,avg CPU 96.4 percent over 5m
R019,2026-09-02T09:14:51+07:00,grafana,GRF-40119,[FIRING:1] PaymentAPIHealthCheck (payment-api api-prod-01),critical,payment-api,api-prod-01,production,alerting,health check returned 503 for 3 consecutive probes
R020,2026-09-02T09:15:38+07:00,azure_monitor,AZ-77305,CPU percentage greater than 90 (api-prod-01),Sev1,payment-api,api-prod-01,production,Fired,avg CPU 94.1 percent over 5m
R021,2026-09-02T09:17:20+07:00,uptime_kuma,UK-9047,[payment-api] [Up] Service restored,,payment-api,api-prod-01,production,Up,200 OK in 143ms
R022,2026-09-02T09:18:02+07:00,grafana,GRF-40121,[RESOLVED] PaymentAPIHealthCheck (payment-api api-prod-01),critical,payment-api,api-prod-01,production,ok,health check recovered
R023,2026-09-02T09:19:47+07:00,azure_monitor,AZ-77312,CPU percentage greater than 90 (api-prod-01),Sev1,payment-api,api-prod-01,production,Resolved,avg CPU 31.2 percent over 5m
R024,2026-09-02T09:45:00+07:00,grafana,GRF-40130,Scheduled report job finished (reporting),info,reporting,sql-prod-02,production,,12 reports generated
R025,2026-09-02T10:30:14+07:00,azure_monitor,AZ-77380,CPU percentage greater than 85 (web-prod-01),Sev2,web-frontend,web-prod-01,production,Fired,avg CPU 88.9 percent over 5m
R026,2026-09-02T10:31:02+07:00,azure_monitor,AZ-77381,CPU percentage greater than 85 (web-prod-02),Sev2,web-frontend,web-prod-02,production,Fired,avg CPU 91.3 percent over 5m
R027,2026-09-02T10:41:35+07:00,azure_monitor,AZ-77389,CPU percentage greater than 85 (web-prod-01),Sev2,web-frontend,web-prod-01,production,Resolved,avg CPU 42.7 percent over 5m
R028,2026-09-02T11:02:09+07:00,azure_monitor,AZ-77420,Disk free space less than 10 percent (node-04),Sev2,infra,node-04,production,Fired,8.4 percent free on /var
R029,2026-09-02T11:08:44+07:00,azure_monitor,AZ-77426,Disk free space less than 10 percent (node-04),Sev2,infra,node-04,production,Resolved,12.1 percent free on /var
